2.3.2
1.3.1
GeForce RTX 2070 SUPER
(810000, 230) (10000, 227)
20200114T135332
fea_size 226 y_cols ['layer_1', 'layer_2', 'layer_3', 'layer_4']
HBox(children=(IntProgress(value=0, description='Epoch', max=100000, style=ProgressStyle(description_width='initial')), HTML(value='')))
Epock 0 / 100000 loss: 59.54733657836914
Epock 1 / 100000 loss: 69.28430938720703
Epock 2 / 100000 loss: 61.33448791503906
Epock 3 / 100000 loss: 60.7803955078125
Epock 4 / 100000 loss: 61.32320022583008
Epock 5 / 100000 loss: 61.28120040893555
Epock 6 / 100000 loss: 61.189117431640625
Epock 7 / 100000 loss: 61.09288024902344
Epock 8 / 100000 loss: 61.058650970458984
Epock 9 / 100000 loss: 60.97864532470703
Epock 10 / 100000 loss: 60.871604919433594
Epock 11 / 100000 loss: 60.80638885498047
Epock 12 / 100000 loss: 60.737815856933594
Epock 13 / 100000 loss: 60.65894317626953
Epock 14 / 100000 loss: 60.61719512939453
Epock 15 / 100000 loss: 60.55901336669922
Epock 16 / 100000 loss: 60.49220657348633
Epock 17 / 100000 loss: 60.41694259643555
